iter	MultiClass
641	0.5563140057
642	0.5563138551
643	0.5563137113
644	0.5563136889
645	0.5563136785
646	0.556313672
647	0.556313647
648	0.5563135092
649	0.5563134777
650	0.5563134515
651	0.5563132648
652	0.5563131044
653	0.5563130292
654	0.5563130002
655	0.5563129307
656	0.5563129249
657	0.5563128528
658	0.5563127686
659	0.5563127376
660	0.5563125286
661	0.5563125169
662	0.556312507
663	0.5563124436
664	0.5563123651
665	0.5563123234
666	0.5563121723
667	0.5563120472
668	0.5563119926
669	0.5563119842
670	0.5563119338
671	0.5563119251
672	0.5563117323
673	0.5563117209
674	0.5563116824
675	0.556311644
676	0.5563116409
677	0.5563116193
678	0.556311585
679	0.5563115377
680	0.556311511
681	0.5563114675
682	0.5563114637
683	0.5563114343
684	0.5563114278
685	0.5563114164
686	0.5563114083
687	0.5563112054
688	0.5563111837
689	0.5563111722
690	0.5563111137
691	0.5563109948
692	0.5563109296
693	0.5563108615
694	0.5563108288
695	0.5563107957
696	0.5563107822
697	0.5563106631
698	0.5563106199
699	0.556310612
700	0.5563105533
701	0.5563105165
702	0.5563104569
703	0.5563102979
704	0.5563102748
705	0.5563102661
706	0.5563102583
707	0.5563102038
708	0.5563101155
709	0.5563100928
710	0.5563100714
711	0.5563100651
712	0.5563100373
713	0.5563099785
714	0.5563098227
715	0.5563097763
716	0.5563097713
717	0.5563097488
718	0.5563097294
719	0.5563096727
720	0.5563096683
721	0.5563095554
722	0.5563094064
723	0.5563092399
724	0.5563091849
725	0.5563091779
726	0.5563091724
727	0.5563091438
728	0.5563090117
729	0.5563090059
730	0.5563089787
731	0.5563089316
732	0.5563089078
733	0.5563087306
734	0.5563086568
735	0.556308639
736	0.5563085489
737	0.5563085398
738	0.5563085077
739	0.5563083494
740	0.5563082458
741	0.5563082279
742	0.556308078
743	0.5563080232
744	0.5563079761
745	0.5563078721
746	0.5563077842
747	0.5563076787
748	0.5563076304
749	0.5563076222
750	0.5563074865
751	0.5563074511
752	0.5563074236
753	0.5563072758
754	0.5563071391
755	0.5563069927
756	0.5563069272
757	0.5563068775
758	0.5563068697
759	0.5563068295
760	0.5563068138
761	0.556306812
762	0.5563067744
763	0.5563066759
764	0.5563065417
765	0.5563064335
766	0.5563063709
767	0.5563062277
768	0.5563061418
769	0.5563061377
770	0.5563061026
771	0.5563060564
772	0.5563060274
773	0.5563059999
774	0.5563058792
775	0.5563057934
776	0.5563057453
777	0.5563057167
778	0.5563056073
779	0.5563055715
780	0.5563054895
781	0.5563054458
782	0.5563053117
783	0.5563052461
784	0.5563052111
785	0.5563051634
786	0.5563051028
787	0.5563050754
788	0.5563050579
789	0.5563049752
790	0.5563048742
791	0.5563048278
792	0.5563047208
793	0.5563046102
794	0.5563045874
795	0.5563044393
796	0.5563044314
797	0.5563044259
798	0.55630441
799	0.5563043669
800	0.556304335
801	0.55630433
802	0.5563042903
803	0.5563041818
804	0.5563041643
805	0.5563040562
806	0.5563040277
807	0.5563039063
808	0.5563038878
809	0.5563037523
810	0.5563036514
811	0.5563036193
812	0.5563035882
813	0.5563034512
814	0.5563034181
815	0.5563033808
816	0.5563033347
817	0.5563033106
818	0.55630318
819	0.5563031443
820	0.5563031287
821	0.5563030792
822	0.5563030738
823	0.5563030511
824	0.5563030373
825	0.5563030233
826	0.5563029874
827	0.5563029461
828	0.556302932
829	0.5563029256
830	0.5563029222
831	0.5563028152
832	0.5563028019
833	0.5563027965
834	0.5563027925
835	0.5563027608
836	0.5563027405
837	0.556302731
838	0.5563027127
839	0.5563026008
840	0.5563025016
841	0.5563024787
842	0.5563024621
843	0.5563023385
844	0.5563022133
845	0.5563021605
846	0.5563020554
847	0.5563019706
848	0.5563019687
849	0.5563019431
850	0.5563019118
851	0.5563018982
852	0.5563018691
853	0.5563018281
854	0.5563017432
855	0.5563017266
856	0.5563016706
857	0.5563016027
858	0.5563015683
859	0.5563015615
860	0.5563014657
861	0.5563013844
862	0.5563013027
863	0.5563012885
864	0.5563012676
865	0.5563012371
866	0.5563012338
867	0.5563011984
868	0.5563011313
869	0.5563010875
870	0.5563010837
871	0.5563010098
872	0.5563010048
873	0.5563009876
874	0.5563009831
875	0.5563009318
876	0.5563009262
877	0.5563009228
878	0.5563009205
879	0.5563009042
880	0.5563008403
881	0.5563008194
882	0.5563008161
883	0.556300784
884	0.5563007687
885	0.5563007537
886	0.5563006886
887	0.5563006857
888	0.5563006198
889	0.5563006006
890	0.5563005849
891	0.5563005801
892	0.5563005751
893	0.5563005455
894	0.5563005231
895	0.556300505
896	0.5563004715
897	0.5563003834
898	0.5563002891
899	0.5563002673
900	0.5563002647
901	0.5563001754
902	0.5563001714
903	0.5563001466
904	0.5563000547
905	0.5562999624
906	0.5562999122
907	0.556299909
908	0.556299885
909	0.5562998141
910	0.5562997494
911	0.556299746
912	0.5562997308
913	0.556299727
914	0.55629972
915	0.5562996322
916	0.5562995432
917	0.5562995292
918	0.5562995241
919	0.5562995185
920	0.5562994512
921	0.5562993846
922	0.5562993307
923	0.5562993269
924	0.5562993036
925	0.556299229
926	0.5562991467
927	0.5562989913
928	0.5562989689
929	0.5562989573
930	0.5562989368
931	0.5562988654
932	0.5562988409
933	0.5562988241
934	0.5562987713
935	0.5562987607
936	0.5562986629
937	0.556298641
938	0.5562986154
939	0.5562985829
940	0.5562985333
941	0.5562985164
942	0.5562985056
943	0.5562985012
944	0.5562984905
945	0.5562984724
946	0.55629847
947	0.5562983986
948	0.5562983772
949	0.556298373
950	0.5562983302
951	0.556298318
952	0.5562982574
953	0.5562981979
954	0.5562981938
955	0.5562981483
956	0.5562980896
957	0.556298086
958	0.5562980271
959	0.5562980095
960	0.5562979926
961	0.5562978933
962	0.5562978821
963	0.556297863
964	0.556297853
965	0.5562978424
966	0.556297785
967	0.5562977646
968	0.5562977622
969	0.5562977326
970	0.5562977274
971	0.5562976748
972	0.5562976658
973	0.5562976492
974	0.55629764
975	0.5562975832
976	0.5562975432
977	0.5562975319
978	0.5562975243
979	0.5562974817
980	0.5562974587
981	0.55629739
982	0.556297376
983	0.5562973514
984	0.5562973414
985	0.5562973384
986	0.556297325
987	0.5562972993
988	0.5562972765
989	0.5562972499
990	0.5562972467
991	0.556297222
992	0.5562971447
993	0.5562971339
994	0.5562971292
995	0.5562971203
996	0.5562971101
997	0.5562970398
998	0.5562970299
999	0.5562970145
